id,name,ti,price,time,iced,link,date_added,archived
6871354,GIGABYTE AORUS GeForce RTX 3080 10GB GDDR6X GAMING BOX - kész eGPU (Notebook-hoz),False,165000,2025-01-14 21:50:00,False,https://hardverapro.hu/apro/gigabyte_aorus_geforce_rtx_3080_10gb_gddr6x_gaming/friss.html,2025-01-14 12:00:00,True
6870678,Eladó! Nvidia RTX 3080 Founders Edition 10GB,False,150000,2025-01-14 15:31:00,False,https://hardverapro.hu/apro/elado_nvidia_rtx_3080_founders_edition_10gb/friss.html,2025-01-14 12:00:00,True
6859022,RTX 3080 Ti,True,245000,2025-01-14 19:21:00,False,https://hardverapro.hu/apro/rtx_3080_ti_2/friss.html,2025-01-14 12:00:00,True
6849493,Gainward rtx 3080ti,True,215000,2025-01-07 12:00:00,True,https://hardverapro.hu/apro/gainward_rtx_3080ti/friss.html,2025-01-14 12:00:00,True
6846949,ASUS TUF RTX 3080 Ti 12GB / BESZÁMÍTÁS,True,213000,2025-01-06 12:00:00,True,https://hardverapro.hu/apro/asus_tuf_rtx_3080_ti_12gb_beszamitas/friss.html,2025-01-14 12:00:00,True
6840695,NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card,False,180000,2025-01-02 12:00:00,False,https://hardverapro.hu/apro/nvidia_geforce_rtx_3080_founders_edition_10gb_gddr_2/friss.html,2025-01-14 12:00:00,True
6831937,ZOTAC GAMING RTX 3080 Ti AMP HOLO 12 GB / BESZÁMÍTÁS,True,197000,2024-12-24 12:00:00,True,https://hardverapro.hu/apro/zotac_geforce_trinity_rtx_3080_ti_oc_12gb_beszamit/friss.html,2025-01-14 12:00:00,True
6830112,nVidia RTX 3080 Founders Edition 10GB GDDR6X videokártya,False,158000,2024-12-23 12:00:00,True,https://hardverapro.hu/apro/nvidia_rtx_3080_founders_edition_10gb_gddr6x_video/friss.html,2025-01-14 12:00:00,True
6871677,Rtx 3080 Ti,True,179800,2025-01-14 09:48:00,False,https://hardverapro.hu/apro/rtx_3080_ti_5/friss.html,2025-01-14 12:00:00,True
6871517,EVGA FTW3 RTX3080 10Gb,False,165000,2025-01-14 04:28:00,False,https://hardverapro.hu/apro/evga_ftw3_rtx3080_10gb_6/friss.html,2025-01-14 12:00:00,True
6871926,Gainward GeForce Phantom RTX 3080 Ti 12GB GDDR6X 384bit ALZA garanciával,True,230000,2025-01-22 12:13:00,False,https://hardverapro.hu/apro/gainward_geforce_phantom_rtx_3080_ti_12gb_gddr6x_3_2/friss.html,2025-01-22 11:56:54,True
6871916,"MINT AZ ÚJ! - MSI RTX 3080 Ti 12GB GDDR6X GAMING X TRIO 12G - Gyönyörű, hibátlan állapotban!",True,239990,2025-01-22 12:04:00,False,https://hardverapro.hu/apro/msi_rtx_3080_ti_12gb_gddr6x_gaming_x_trio_12g_gyon/friss.html,2025-01-22 11:56:54,True
6794455,Gigabyte RTX 3080 AORUS MASTER 10GB GDDR6X - LCD Kijelzővel - Beszámítás: OK,False,179990,2025-01-22 20:25:00,False,https://hardverapro.hu/apro/vram_mod/friss.html,2025-01-22 22:11:35,True
6873017,Asus TUF Gaming RTX 3080 10GB,False,250000,2025-01-23 06:54:00,False,https://hardverapro.hu/apro/asus_tuf_gaming_rtx_3080_10gb/friss.html,2025-01-23 07:10:49,True
6873065,"LEGSZEBB!!! - ASUS ROG STRIX RTX 3080 10GB GDDR6X OC Edition - Újszerű, hibátlan, hűvös!",False,199990,2025-01-23 08:27:00,False,https://hardverapro.hu/apro/asus_rog_strix_rtx_3080_10gb_gddr6x_oc_edition_ujs_3/friss.html,2025-01-23 12:16:49,True
6874049,"ZOTAC GAMING GeForce RTX 3080 Trinity, 10GB, 4hónap gar",False,165000,2025-01-23 19:10:00,False,https://hardverapro.hu/apro/zotac_gaming_geforce_rtx_3080_trinity_10gb_4honap/friss.html,2025-01-23 20:23:30,True
6874423,ZOTAC AMP Holo 3080 Ti 12GB,True,214900,2025-01-24 06:56:00,False,https://hardverapro.hu/apro/zotac_amp_holo_3080_ti_12gb/friss.html,2025-01-24 07:10:36,True
6874792,"HP Omen Geforce RTX 3080 ti 12GB GDDR6X videokártya - hibátlan, garanciális számlával",True,210000,2025-01-24 12:20:00,True,https://hardverapro.hu/apro/hp_omen_geforce_rtx_3080_ti_12gb_gddr6x_videokarty/friss.html,2025-01-24 12:16:17,True
6874698,LEGSZEBB!!! - EVGA RTX 3080 Ti 12GB GDDR6X FTW3 ULTRA GAMING - 2025.05.08-ig magyar Alza garancia!,True,249990,2025-01-24 11:10:00,False,https://hardverapro.hu/apro/legszebb_evga_rtx_3080_ti_12gb_gddr6x_ftw3_ultra_g/friss.html,2025-01-24 12:16:17,True
